Covers,CBS,Odds Shark,ESPN,SR Url
MORE,MOREHD,Morehead State,Morehead State Eagles,morehead-state
MORG,MORGAN,Morgan State,Morgan State Bears,morgan-state
MOSU,MOST,Missouri State,Missouri State Bears,missouri-state
MRSH,MRSHL,Marshall,Marshall Thundering Herd,marshall
MRST,MARIST,Marist,Marist Red Foxes,marist
MSM,MOUNT,Mount St. Mary's,Mount St. Mary's Mountaineers,mount-st-marys
MSST,MISSST,Mississippi State,Mississippi State Bulldogs,mississippi-state
MSU,MICHST,Michigan State,Michigan State Spartans,michigan-state
MTST,MONST,Montana State,Montana State Bobcats,montana-state
MTU,MTSU,Middle Tennessee,Middle Tennessee Blue Raiders,middle-tennessee
MURR,MURYST,Murray State,Murray State Racers,murray-state
